,Topic,Response,TestVersion,TestId,TotalTime,UserName,Prompt,PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,DateOfExam,MachineScore
44,EDUCATION,<p>Estimado los estudiantes^</p><p>Puedo creer que hay solomente dos opiciones para la escuela en mi comunidad. Escuelas públicas y escuelas privadas^ pero creo que hay múltiples niveles para las escuelas públicas. Los esculas privadas tienen más niveles para los estudiantes^ tienen clases de primer a octavo grado. Yo no soy una estudiante de un escuela privada y no estoy seguro si esto es cierto pero creo que los estudiantes tienen la misma amigos de la clase para todos de el tiempo en la escuela privada. Generalmente^ hay menos profesores en una escuela privada porque hay mucho trabajo para los estudiantes si quieren ser un estudiante en la escuela. Por ejemplo^ los estudiantes necesitan tomar muchos examenes y algunas veces los estudiantes les hace preparar por una entrevista para ver si los estudiantes se aceptaron o no. Adémas^ la escuela privada cuesta mucho dinero para los padres de los estudiantes. En el otro lado^ los estudiantes que quieren ir a un escuela pública no hacen todos de el trabajo para ir a una escuela privada^ como los examenes o las entrevistas. Pero hay aspectos negavitos para la escuela pública^ algunos padres dicen la education los estudiantes recibien en la escuela pública no es bueno de la esucation en las escuelas privadas. <br></p><p><br></p><p>Generalmente^ después la prepatatoria^ los estudiantes van a una universidad para más education que ellos le hace para su trabaja. Hay muchos formas diferentes para la universidad dependiendo de la mayor. Por ejemplo^ mi primo quiere ser un doctor^ y necesita tomar cuarto años de la biologia. Después^ se importa que él tomar 4 años de la escuala de la medicina. Dependiendo de el tipo de doctor mi primo quiere ser^ él puede estar en la universidad para tres o ocho más años. Sin embargo^ mi primo necesita estar en la universidad para muchos años porque le gustaría ser un doctor. Si él quiere ser un profesor^ él gastaría menos tiempo en la universidad. <br></p><p><br></p><p>Atentamente^ </p><p>Su amigo </p>,B2,3740054,20,M4774076,The students in your partner school in Madrid want to learn more about students and education in your community.In two well-developed^ organized paragraphs^ write an email in which you address the following:	Describe the different types of schools and education options that are available in your community. Explain the pros and the cons of the different schooling options where you live.	Explain what students typically will do after they finish high school. Describe in detail the different paths students^ or someone you know^ will take after they graduate. Include as much information as possible.,A,1,I5,A-SE,3543,,,,2021-07-01,1-A-M+
52,LANGUAGE ARTS,<p>Recientemente^ yo terminé un libro se llama |La guerra sucia|^ el libro es sobre una periodista se llama Leslie que necesitó escribir una articulo sobre los desapariciones en argentina. Primero^ Leslie recibió un llamada telefónica de su jefe sobre la situación en argentina y el gobierno. El jefe quiso Leslie ir a argentina para encontrar evidencia sobre los desapariciones para el articulo. Leslie tenía dos hijos^ se llama Nick y Alex. Nick le gustaba practicar deportes y su hermano^ Alex prefería estudiar para sus clases y eschuchar musica. Leslie vivía en nueva york y viajó a argentina^ pero era un país pelogroso porque el gobierno tenían mucho control. Cuando Leslie llegó en argentina^ ella encontró un mujer se llama Magdelena. Magdelena tenía un hijo^ se llama Raul. Según a Magdelena^ Raul capturó del gobierno. Leslie y Magdelena fueron a la casa de Raul y encontraron muchos pistas sobre la situacion de Raul. Había un papel de el nombre del un general para el goberino^ Sanchez. Cuando Leslie leyó el papel^ ella aprendió que Raul creyó que Sanchez estaba culpable de los disaparciones en argentina. Desupés algunos días de hablando y escribiendo^ Leslie encontró a Magdelena en su casa. De repente^ Raul regresó a la casa y dijo que ellos necesitaron llegar ahora. Leslie dijo adiós a Magdelena y Raul^ ella empezó a volver al hotel. Pero Leslie vio un edificio del gobierno y quiso entrar. Sin embargo^ Sanchez estaba en el edificio y capturó Leslie. </p><p><br></p><p>Creo que este libro estaba muy intersante porque yo aprendí muchas cosas intersantes sobre la histora de argentina. Antes yo leí el libro^ yo no sabía nada sobre la situacion en argentina y los desapariciones en el mil novecientos y setenta. Si quieres aprender sobre la historia de argentina y el goberino^ yo leería este libro^ pero hay momentos que cuando tenía miedo para Leslie. Pero no le interesa aprender sobre la historia^ que creo que tú no lee el libro. Generalmente^ me gusta los personajes en el libro porque había muchos tipos de emociónes en muchos partes en el libro. En mi opinion^ el final del libro era muy rápido y no había tiempo para descrubrir los emociónes de Leslie. </p>,B2,3740054,20,M4774076,You have been asked to contribute a book review to the online school newspaper^ which will be read by students in Colombia.Write a short review in Spanish about your favorite book^ or a book you recently read for school. In two well-developed^ organized paragraphs^ be sure to do the following:	Summarize the plot. What happened in the book? Include anything that the characters did that was interesting or unexpected.	Explain what you liked about the book and what you think could be better. Provide information that will help the reader decide if this book is worth reading or not.,A,1,I5,A-MF,3543,,,,2021-07-01,2-A-SE
53,LANGUAGE ARTS,<p>Un libro que leío en mi clase de íngles el año pasado fue The Great Gatsby. Este libro era sobre un hombre^ Jay Gatsby^ que tiene mucho dinero y siempre tiene fiestas muy grande en su casa. El rázon para todos los cosas para obtener la atencion de una mujer^ Daisy. Pero^ Daisy tiene un esposo^ entonces hay muchas problemas en la libro.</p><p>Me gusta este libro porque ahora^ tengo una perspectiva muy diferente y me gusta este experiencia. Tambien^ yo veo la pelicula del libro y hay muchas diferencias contra el libro y la pelicula. Interesante^ ¿no? No hay ningun cosa que no me gusta sobre este libro. En total^ pienso deber a leer el libro. Es muy buena y facinante.</p>,B2,3735737,35,Q4767573,You have been asked to contribute a book review to the online school newspaper^ which will be read by students in Colombia.Write a short review in Spanish about your favorite book^ or a book you recently read for school. In two well-developed^ organized paragraphs^ be sure to do the following:	Summarize the plot. What happened in the book? Include anything that the characters did that was interesting or unexpected.	Explain what you liked about the book and what you think could be better. Provide information that will help the reader decide if this book is worth reading or not.,A,1,I4,A-SE,2278,,,,2021-07-01,2-A-SE
61,POP_CULTURE,<p style=|text-align: left:|>¡Hola amigos de México!</p><div>Hay muchas modas de ropa en mi comunidad de escuela actualmente. Uno es zapatos se llama Doc Martins. El original Doc es solo negro^ pero los Docs nuevos son muchos colores y son muy divertido. Un otro moda de ropa actualmente es Jeans agujeros. Muchas niñas y niños llevanlos. Esto es EN mi escuela. Cuando no en escuela^ personas llevan dos tipos de ropa: ropa similar a ropa para dormir o llevan menos ropa que es posible. Es muy escandaloso.</div><div style=|text-align: left:|></div><div><br></div><div>Muchas comunidades tiene lugares donde jovenes van a ser juntos. En mi pueblo^ hay muchos lugares para esto. Un lugar es la parque en el centro de mi pueblo. Un otro es nuestro Starbucks local. Y finalmente un otro es una tienda de helado. El año pasado^ mi amiga y yo fuimos a la tienda de helado. Nosotros compramos alguno helado y hablamos sobre nuestros vidas. Este tiempo fue muy muy divertido y quiero hacerlo otra vez en la futuro.</div>,B2,3735737,35,Q4767573,A group of exchange students from Mexico is coming to your school. They want to understand the trends that are currently popular in your school.Write a blog post in Spanish about what is popular in your school and community. In two well-developed^ organized paragraphs^ be sure to address the following topics:	Describe the current clothing trends in your school community. Write about what is popular for students to wear both in and outside of school.	Many communities have places where young people like to get together. Think of a place like this in your community. Tell a story about a time when you or someone you know spent time there and describe everything that happened from beginning to end.,A,1,I4,A-SE,2278,,,,2021-07-01,2-A-SE
62,POP_CULTURE,<p>¡Hola a todos!</p><p>Espera que tú tienas un bien tiempo en tú nueva escuela. En la escuala^ los estudiantes no necesitan llevan puesto un uniforme^ estudiantes pueden llevar muchas ropas diferentes. Generalemente^ creo que no hay solomente un estilo para la ropa porque todos son diferentes. Creo que la ropa los estudiantes llevan en la escuela es la misma con la ropa los estudiantes llevan afuera de la escuela porque los estudiantes no necesitan llevan puesto un uniforme. Adémas^ los estudiantes están muy amable y le gustan muchos tipos de estilos. Pero en mi opinion^ los niños llevan mucha ropa de deportes^ como Nike y Under Armor y los niñas le gusta llevar la ropa cara^ como Pink y American Eagle. En el otro lado^ la comunidad tienen muchos lugares para pasarla bien con tus amigos. Por ejemplo^ hay muchos resutrantes cuando los estudiantes pueden comer los sábados y domingos. Por ejemplo^ al final del año escolar^ mis amigos y yo fueron a un resutrante para comer. Yo pedí un pizza con queso y mis amigos pidieron muchos platos de la comida de italiano^ como los espaguetis y sopas^ porque fueron al un resturante italiano. La comida era muy rica y deliciosa. Para bebida^ mis amigos y yo pidieron limonada y agua antes ir a mi casa. La comunidad tienen muchos resturantes para salir con sus amigos.<br></p>,B2,3740054,20,M4774076,A group of exchange students from Mexico is coming to your school. They want to understand the trends that are currently popular in your school.Write a blog post in Spanish about what is popular in your school and community. In two well-developed^ organized paragraphs^ be sure to address the following topics:	Describe the current clothing trends in your school community. Write about what is popular for students to wear both in and outside of school.	Many communities have places where young people like to get together. Think of a place like this in your community. Tell a story about a time when you or someone you know spent time there and describe everything that happened from beginning to end.,A,1,I5,A-MM,3543,,,,2021-07-01,2-A-SE
0,ART,<p>     En mi pueblo^ el tipo de arte más popular es las obras de teatro. Muchos estudiantes participan en las obras de teatro y muchas personas de la escuala y el pueblo asisten a las obrase de teatro.  Mi escuela tiene las obras de teatro dos veces al año. Mi pueblo no tiene un museo de arte y por eso la escuela es el único lugar para ver el arte del dibujo y la pintura. Pero^ me gusta usar la computadora y prefiero el arte digital. </p>,B2,3745323,50,T4782959,Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.,I,1,I5,,4141,,,,2021-07-01,1-I-MF
1,ART,<p>¡Arte en nuestró ciudad es muy divertido! Lo puedes ver en muchos lugares^ como la biblioteca^ centro comercial^ y Museo de Arte. En la biblioteca^ el arte está en el tercer piso. Cuando entras te van a pedir que no tomás fotós del arte porque es muy delicado. Es gratís para entrar y el arte és muy bonito. Tambien hay arte en el centro comercial. Está en el primer piso. Este arte lo puedes comprar pero es muy caro. Aunque es muy caro^ todo es muy bonito y hay arte de artistas popúlar. Otro lugar que puedes ver arte es en el Museo de Arte. Este museo cuesta 15 dolares para entrar pero aquí hay mucho arte para ver. Todo el arte es hecho de artistas popular y tambien el arte es muy viejo pero bonito porque puedes ver como artistás en el pasado hicieron arte. Mí favorito arte es el arte hecho de metál. Es mi favorito porque es muy interesante a ver como un artista puede transformar algo simplé como metál a algo muy perfecto y bonito. </p>,B2,3747011,61,C4788200,Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.,I,1,I5,,3400,4141.0,,,2021-07-01,1-I-MF
2,ART,<p>en el escuala mi escuala es mathmaticas y ingles y espanol porque es leer</p>,B2,3740453,3,V4774602,Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.,I,1,Below N4,I-NE,3389,,,,2021-07-01,3-I-SE
9,DAILY_SCHEDULE_ROUTINE,<p>en historia mi muy divertido porque much historia en america. el george washington y mi escuala scheduala es mucho trabajo porque mucho clase</p>,B2,3740453,3,V4774602,You are working on a project for your Social Studies class about the differences in schedules for teens around the world. You decide to write to your penpal in Spain to find out more about his weekly schedule.Write an email to your penpal. Ask him lots of questions to learn about what he does each week. Ask him about his school schedule and other activities that he does regularly.,I,1,Below N4,I-NE,3389,,,,2021-07-01,2-I-MM
10,DAILY_SCHEDULE_ROUTINE,<p>¡Holá amigo! ¿Como estás? Tengo preguntas de que haces cada semana. ¿En que año o grado estás? ¿Te gusta tu escuela? ¿Tús clases son dificíl? ¿Tienes mucha tarea? ¿Juegas deportes? ¿Tienes una clase de educacion fisica? ¿Que estás aprendiendo en tú clase de matematicas? ¿Que haces despues que llegas de la escuela? ¿Cuantos horas de toma para completar t´u tarea? ¿Como se llama tú escuela?</p><p>Esos son todas la preguntas que tengo para usted. ¡Saludos amigo!</p>,B2,3747011,61,C4788200,You are working on a project for your Social Studies class about the differences in schedules for teens around the world. You decide to write to your penpal in Spain to find out more about his weekly schedule.Write an email to your penpal. Ask him lots of questions to learn about what he does each week. Ask him about his school schedule and other activities that he does regularly.,I,1,I5,,3400,4141.0,,,2021-07-01,1-I-MF
11,DAILY_SCHEDULE_ROUTINE,<p>Hola amigo^</p><p>No sé mucho sobre los horarios de adolescentes en España. Oigo que es muy diferente de los Estados Unidos.</p><p>¿Cuántas clases tienes cada día?<br></p><p>¿Cuántas días a la semana vas a la escuela?<br></p><p>¿Qué clases tienes?<br></p><p>¿Vives en la escuela o en su casa?<br></p><p>¿Juegas deportes? ¿Cual deportes?<br></p><p>¿Particpas en las obras de teatro?<br></p><p>¿Participas en un club?<br></p><p>¿Estudias mucho?<br></p><p>¿Te gustan las artes?<br></p><p><br></p>,B2,3745323,50,T4782959,You are working on a project for your Social Studies class about the differences in schedules for teens around the world. You decide to write to your penpal in Spain to find out more about his weekly schedule.Write an email to your penpal. Ask him lots of questions to learn about what he does each week. Ask him about his school schedule and other activities that he does regularly.,I,1,I5,,4141,,,,2021-07-01,1-I-MF
12,FAMILY,<p>     Yo soy de los Estados Unidos. Yo tengo tres hermanos^ una heramna^ una madre^ y un padre. A mi familia le encanta los deportes. Vemos partidos de fútbol americano y baloncesto. También^ jugamos baloncesto juntos mucho. </p><p>     Comemos juntos casi todos los dias. A veces mi madre cocina la cena y a veces mi familia va a un restaurante. Durante la cena hablamos de nuestros dias. Después de la cena^ a menudo vemos a una pelicula. </p><p>     Tambien^ a mi familia le gustan viajar a otros países. Por ejemplo^ mi familia viajo a México en marzo por una semana. Durante el verano^ mi familia va a la playa o una piscina para relajar. </p><p><br></p>,B2,3745323,50,T4782959,Your penpal from Spain wrote you an email. She wants to know more about family life in your country.Write an email response to your penpal in which you describe how you or others spend time with family. Tell her as much as you can about the kinds of activities people enjoy doing together as a family.,I,1,I5,,4141,,,,2021-07-01,1-I-MF
13,FAMILY,<p>¡Holá amiga! Estoy muy estática que me escribiste. Mí familía y yo gustámos a ver peliculas^ gustámos a jugár vídeo-juegos^ y gustamos ver partidos de tenis. Mí familía gustámos a ir a la tienda de peliculas^ y escojemos uno que nos interesá a toda la familía. A mi me gusta las peliculas de terror^ pero a mis papás les gustan las peliculas de acción. Tambien nos gustamos a jugár vídeo-juegos. Mí familía y yo gustámos jugar vídeo-juegos de bailar. Podemos jugar todos juntos y es una competencia de quíen puede bailar mejór.¡Es muy interesante! Otra cosa que nos encantá aser es comprar boletos para ver partidos de tenis. El deporte tenis no es facíl^ so es muy interesante a ver todo el energia que los jugadores ponen en el partido. Yo personalmente me gusta ir de compras en el centro comercial. Me gusta ver todas las nueva modas de ropa. A veces not tengo mucho dinero para comprar ropa pero todavia es muy divertido a ver la ropa. Esás son las actividades que mí familía y yo nos gustamos aser en mi país. </p>,B2,3747011,61,C4788200,Your penpal from Spain wrote you an email. She wants to know more about family life in your country.Write an email response to your penpal in which you describe how you or others spend time with family. Tell her as much as you can about the kinds of activities people enjoy doing together as a family.,I,1,I5,,3400,4141.0,,,2021-07-01,1-I-MF
14,FAMILY,<p>mi familia es mucho grande y muy divertido. en el espania </p>,B2,3740453,3,V4774602,Your penpal from Spain wrote you an email. She wants to know more about family life in your country.Write an email response to your penpal in which you describe how you or others spend time with family. Tell her as much as you can about the kinds of activities people enjoy doing together as a family.,I,1,Below N4,I-SE,3389,,,,2021-07-01,3-I-SE
18,ANIMALS,<p>Hola (nombre)^</p><p>yo recomendo un perro porque yo tiene un perro es muy dirvertido para tu necicito </p>,A1,3746968,27,Z4787645,Your pen pal wants to get a new pet and has asked for your suggestions. Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet. ,I,1,N4,I-SE,3400,,,,2021-07-01,4-I-NE
19,ANIMALS,,A1,3709222,27,B4739554,Your pen pal wants to get a new pet and has asked for your suggestions. Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet. ,I,1,N1,I-NE,3389,3947.0,,,2021-07-01,4-I-NE
